Walls:
(0.0, 0.0), (0.09, 0.0)
(0.09, 0.0), (0.09, 0.015)
(0.09, 0.015), (0.18, 0.015)
(0.18, 0.015), (0.18, 0.075)
(0.18, 0.075), (0.09, 0.075)
(0.09, 0.075), (0.09, 0.09)
(0.09, 0.09), (0.0, 0.09)
(0.0, 0.09), (0.0, 0.0)
Particles:
(0.07750654353448647, 0.016829676380238846), (0.3, 0.3), 0.005
(0.05172907820276762, 0.06484099360718674), (0.3, 0.3), 0.005
(0.05117610729420508, 0.08301375326783876), (0.3, 0.3), 0.005
(0.04400091129950416, 0.026676317128656285), (0.3, 0.3), 0.005
(0.044951806582763015, 0.04275286182071638), (0.3, 0.3), 0.005
(0.07704893537370563, 0.037204930474233955), (0.3, 0.3), 0.005
(0.06464595007049102, 0.04610829822995862), (0.3, 0.3), 0.005
(0.011709735184808251, 0.07500798303030563), (0.3, 0.3), 0.005
(0.031003671916756334, 0.03339272863819521), (0.3, 0.3), 0.005
(0.041415605908655, 0.0169954416039662), (0.3, 0.3), 0.005
(0.0366802011352014, 0.055816277061062666), (0.3, 0.3), 0.005
(0.06951146739453502, 0.06505281798244038), (0.3, 0.3), 0.005
(0.027503279373909666, 0.01498190294420192), (0.3, 0.3), 0.005
(0.06483124612785512, 0.020219546659870264), (0.3, 0.3), 0.005
(0.007705482021319726, 0.05862574777566317), (0.3, 0.3), 0.005
(0.01809224692774108, 0.053414488654611805), (0.3, 0.3), 0.005
(0.030254699396773443, 0.08397868933287621), (0.3, 0.3), 0.005
(0.06172554696972131, 0.05741850892288509), (0.3, 0.3), 0.005
(0.0545061518444244, 0.023824983767134645), (0.3, 0.3), 0.005
(0.058540205954930424, 0.0067995131866410595), (0.3, 0.3), 0.005
